"unique(ntagterm0)" "tag"
"物價" ""
"南韓" ""
"大家" ""
"影音" ""
"中心" ""
"薪資" "nSalary"
"房價" ""
"實際" ""
"大學" "nDepartment"
"影片" ""
"生活" ""
"坦言" ""
"蔬菜" ""
"水果" ""
"衣服" ""
"電子產品" ""
"價格" ""
"年薪" ""
"月薪" "nSalary"
"發文" ""
"網友" ""
"薪水" "nSalary"
"基本" ""
"小時" "nLeave"
"東西" ""
"國家" ""
"方向" ""
"行業" "nSalary"
"系統" "nEquipment"
"電子" ""
"新聞" ""
"工作" "nCareer"
"大樓" ""
"客戶" "nBoss"
"店員" ""
"畢業生" "nDepartment"
"專業" ""
"科系" "nDepartment"
"門檻" ""
"工廠" "nWorkplace"
"工地" ""
"老人" ""
"趨勢" ""
"專長" "nAdvantage"
"菜市場" "nWorkplace"
"一家人" ""
"經營" ""
"傳統" ""
"市場" "nWorkplace"
"爸媽" ""
"小孩" ""
"一樓" ""
"冷氣" ""
"日本" "nWorkplace"
"小吃" ""
"客人" ""
"方法" ""
"豆花" ""
"家庭" ""
"測量" ""
"飲料店" ""
"吸引力" ""
"回家" ""
"份量" ""
"心情" ""
"技術工" ""
"印象" ""
"水電工" ""
"講話" ""
"客氣" ""
"老婆" ""
"費用" ""
"過程" ""
"問題" ""
"水電" ""
"師傅" "nStudy"
"免費" ""
"朋友" "nCoworker"
"時間" ""
"資源" ""
"影響" ""
"創業" "nCareer"
"文章" ""
"職場" "nWorkplace"
"新任" ""
"自我介紹" ""
"原因" ""
"狀況" "nHealth"
"時會" ""
"公告" ""
"管理" ""
"私信" ""
"有所" ""
"規定" "nBenefit"
"短時間" ""
"內容" "nCareer"
"現實生活" ""
"網路" ""
"對方" "nCoworker"
"糾紛" ""
"水桶" ""
"爭議" ""
"事情" ""
"壓力" "nWorkplace"
"環境" "nWorkplace"
"疫情" "nWorkplace"
"辦公" ""
"地方" ""
"部分" ""
"能量" ""
"考量" ""
"政策" ""
"建議" ""
"口罩" ""
"電話" ""
"有點" ""
"主管" "nBoss"
"公司" ""
"人事" ""
"課長" ""
"結果" ""
"勞基法" "nBenefit"
"越南" ""
"家人" ""
"員工" "nCoworker"
"機械" ""
"護理" ""
"機械系" ""
"畢業" "nDepartment"
"夜班" "nSalary"
"護理系" ""
"熱情" ""
"人員" "nCoworker"
"醫療" ""
"工時" ""
"強力" ""
"高鐵" ""
"機會" "nCareer"
"禮拜" ""
"失業" "nBenefit"
"尼特" ""
"學校" "nDepartment"
"園區" ""
"關係" ""
"科技" ""
"半導體" ""
"職位" ""
"助工" ""
"博士" ""
"碩士" "nDepartment"
"畢業文憑" "nDepartment"
"價值" "nSalary"
"學店" ""
"目標" ""
"外商" ""
"日商" ""
"退休金" ""
"政府" "nBoss"
"苛扣" ""
"資深" ""
"年終獎金" "nBenefit"
"辦公桌" ""
"廁所" ""
"約談" ""
"低薪" ""
"新進人員" "nCoworker"
"基層" ""
"法律" ""
"業績" "nSalary"
"成本" ""
"利用" ""
"手段" ""
"律師" ""
"訴訟" ""
"年資" "nSalary"
"考績" ""
"公平" ""
"原則" ""
"司法" ""
"精神" ""
"社工" ""
"辦公室" "nWorkplace"
"職務" ""
"錄音" ""
"態度" ""
"故事" ""
"是我太" ""
"女生" ""
"拍賣場" ""
"廣告" ""
"資料" ""
"賣場" ""
"勝任" ""
"基本工資" ""
"老闆" "nBoss"
"能力" ""
"理貨" ""
"速度" ""
"前輩" ""
"設計" ""
"感覺" "nDepartment"
"行銷" "nJob"
"美術設計" ""
"焦慮症" ""
"安眠藥" ""
"鎮定劑" ""
"困難" ""
"技能" ""
"換新" ""
"緊張感" ""
"無法" ""
"我會" ""
"身心" ""
"粉碎性" ""
"內向" ""
"心想" ""
"現況" ""
"育嬰" ""
"個人" ""
"現場" "nWorkplace"
"操作員" ""
"原本" ""
"單位" "nWorkplace"
"作業" ""
"文化" ""
"時候" ""
"同事" "nCoworker"
"習慣" ""
"氛圍" ""
"心態" ""
"試用期" ""
"服務" ""
"指導" ""
"謝謝" ""
"大神" ""
"娛樂" ""
"設備" "nEquipment"
"輪班" "nSalary"
"買房" ""
"花錢" ""
"嘗試" ""
"年齡" ""
"做人" ""
"意見" ""
"獎金" "nBenefit"
"比賽" "nCareer"
"競賽" "nCareer"
"分配" ""
"人生" "nCareer"
"大量" ""
"業界" "nWorkplace"
"利益" ""
"穩定性" ""
"成長性" ""
"名額" ""
"大人" ""
"發展" "nWorkplace"
"社會" ""
"畸形" ""
"制度" ""
"求職者" ""
"物流" ""
"堆高機" "nAdvantage"
"人力" ""
"打工仔" ""
"實況" ""
"網站" "nCareer"
"邊緣" ""
"比例" ""
"企業" "nWorkplace"
"省錢" ""
"臨時工" ""
"加班費" "nSalary"
"大哥" ""
"勞工局" "nBenefit"
"麻煩" ""
"勞工" "nBenefit"
"會員" "nInterview"
"區域" ""
"台北" ""
"訊息" ""
"勞累" ""
"內場" "nWorkplace"
"證照" "nAdvantage"
"餐廳" "nWorkplace"
"辦法" ""
"評價" ""
"店長" "nBoss"
"方式" ""
"電子科" ""
"人數" ""
"新人" "nCoworker"
"人性" ""
"條件" ""
"作法" ""
"不合理" ""
"部門" "nCoworker"
"情商" ""
"騙人" ""
"明白" ""
"前提" ""
"服務業" ""
"福利" "nBenefit"
"邏輯" ""
"證明" ""
"天花板" ""
"入門" ""
"自學" ""
"裁員" ""
"軟體" "nEquipment"
"剪輯" ""
"評估" ""
"筆記" ""
"容忍度" ""
"會用" ""
"目的" ""
"標準" ""
"對象" ""
"好心" ""
"階段" ""
"細節" ""
"資訊" ""
"工程" ""
"學士" ""
"愛玩" ""
"學歷" "nDepartment"
"經歷" "nDepartment"
"空白" ""
"跳槽" "nCareer"
"補貼" ""
"工會" ""
"投保" "nBenefit"
"勞保" "nBenefit"
"年度" ""
"機關" ""
"津貼" ""
"貸款" ""
"銀行" "nWorkplace"
"紀錄" ""
"合法" ""
"違法" ""
"高手" ""
"外包" ""
"文件" ""
"休學" ""
"資金" ""
"成果" ""
"訂單" ""
"意願" ""
"老前輩" ""
"壞習慣" ""
"手機" "nEquipment"
"拜託" ""
"大學畢業" "nDepartment"
"住戶" ""
"親戚" ""
"背景" ""
"待業" "nCareer"
"待遇" ""
"分析" ""
"製程" ""
"職稱" ""
"技術員" ""
"蔬菜水果" ""
"助手" ""
"租屋" ""
"主廚" ""
"帽子" ""
"攤位" ""
"賣東西" ""
"體力" ""
"技術" ""
"產品" ""
"廢話" ""
"熱忱" ""
"考大學" "nDepartment"
"夜校" ""
"有關" ""
"課程" "nAdvantage"
"運用" ""
"老師" "nDepartment"
"夜間部" ""
"考核" ""
"加薪" ""
"電商" ""
"專案" ""
"金融業" ""
"高薪" ""
"興趣" "nDepartment"
"國營" "nWorkplace"
"優勢" ""
"讀書" "nDepartment"
"信心" ""
"志願" ""
"競爭" ""
"家業" ""
"程度" ""
"音樂" ""
"專精" ""
"成本高" ""
"高中畢業" "nDepartment"
"道路" ""
"指南" ""
"專業技能" ""
"公職" "nCareer"
"考試" "nAdvantage"
"台北人" ""
"軍人" ""
"內文" ""
"高職" ""
"學業" ""
"重要性" ""
"上司" ""
"電影" ""
"學生" "nDepartment"
"時期" ""
"私立學校" "nDepartment"
"太久" ""
"資歷" ""
"補習班" ""
"理由" ""
"想學" ""
"存款" ""
"幹嘛" ""
"父親" ""
"生病" ""
"義務" ""
"口氣" ""
"程式" "nAdvantage"
"生涯" ""
"中油" ""
"生活圈" ""
"行政" ""
"客服" ""
"性質" ""
"工讀" ""
"大都" ""
"職能" ""
"網管" ""
"落點" ""
"校園" ""
"常態" ""
"情緒" ""
"寶貴" ""
"聯絡" ""
"同學" ""
"腦袋" ""
